model_name,accuracy,auc,precision,recall,f1,mcc
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9623015873015873
Decision Tree,0.9035087719298246,0.9216269841269841,0.9090103792348448,0.9035087719298246,0.9044837459423354,0.8010714293888773
Knn,0.956140350877193,0.9788359788359788,0.9560729421281235,0.956140350877193,0.9560273762928302,0.9054466190452621
Naive Bayes,0.9298245614035088,0.9867724867724867,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8492063492063492
Random Forest,0.956140350877193,0.9933862433862434,0.9560729421281235,0.956140350877193,0.9560273762928302,0.9054466190452621
